_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
0,NGC   288,GlCl,00 52 45.24,-26 34 57.4,1800,1800,90,4.22,-5.65,10,8.13,,,,,,19.2,19.2,0,947,13.1885,-26.582611
0.9288,2MASS J00524519-2634582,RGB*,00 52 45.20610,-26 34 58.2099,0.02,0.015,90,4.156,-5.672,15.013,13.864,,11.839,11.207,11.104,,,,,1,13.188359,-26.582836
8.9958,RX J005245.0-263449,Star,00 52 45.0,-26 34 49,,,,,,,,,,,,,,,,1,13.1875,-26.580278
10.6877,CXOU J005244.8-263448,X,00 52 44.832,-26 34 48.22,,,,,,,,,,,,,,,,2,13.1868,-26.580061
21.0276,[MDL2014] 240,HB*,00 52 43.70847,-26 35 01.8820,0.072,0.052,90,4.505,-5.442,,,,,,,,,,,2,13.182119,-26.583856
22.0884,2MASS J00524620-2635150,RGB*,00 52 46.22884,-26 35 15.0622,0.024,0.017,90,4.211,-5.618,15.695,14.72,,12.82,12.23,12.113,,,,,1,13.19262,-26.587517
24.1954,[MDL2014] 70,Candidate_HB*,00 52 45.40,-26 35 21.5,,,,,,,,,,,,,,,,1,13.189167,-26.589306
27.2776,2MASS J00524492-2634305,RGB*,00 52 44.93737,-26 34 30.4262,0.028,0.02,90,4.327,-5.723,16.065,15.159,,13.413,12.895,12.8,,,,,1,13.187239,-26.575118
30.5844,Gaia DR2 2342907756640379904,Star,00 52 46.44585,-26 34 31.4436,0.092,0.069,90,4.442,-5.422,,,,,,,,,,,1,13.193524,-26.575401
31.5566,Gaia DR2 2342907653560680192,Star,00 52 42.89581,-26 35 00.0437,0.086,0.062,90,4.017,-5.312,,,,,,,,,,,1,13.178733,-26.583345
34.2801,Cl* NGC  288    SAW V4,pulsV*SX,00 52 42.83,-26 34 46.0,190,180,19,,,17.53,17.24,,16.59,,,,,,,8,13.178458,-26.579444
34.7806,[MDL2014] 79,Candidate_HB*,00 52 42.70095,-26 34 50.3570,0.047,0.034,90,4.297,-5.632,,,,,,,,,,,1,13.177921,-26.580655
34.8453,[MDL2014] 187,HB*,00 52 44.72310,-26 35 31.5485,0.07,0.049,90,4.584,-4.942,,,,,,,,,,,1,13.186346,-26.592097
34.8803,2MASS J00524723-2635197,RGB*,00 52 47.24341,-26 35 19.6360,0.04,0.029,90,4.387,-5.768,16.798,16.021,,14.44,13.95,13.9,,,,,1,13.196848,-26.588788
35.1577,2MASS J00524764-2634437,RGB*,00 52 47.65043,-26 34 43.5971,0.037,0.027,90,4.077,-5.626,16.619,15.789,,14.15,13.69,13.58,,,,,1,13.198543,-26.578777
37.2809,[MDL2014] 63,Candidate_HB*,00 52 47.09845,-26 35 25.1202,0.043,0.031,90,4.417,-5.577,,,,,,,,,,,1,13.196244,-26.590311
37.2954,Cl* NGC  288    SAW V6,pulsV*SX,00 52 42.47,-26 34 54.2,,,,,,17.58,17.28,,,,,,,,,8,13.176958,-26.581722
38.0625,2MASS J00524296-2635202,RGB*,00 52 42.969,-26 35 20.22,80,70,3,,,17.208,16.458,,15.07,14.46,14.45,,,,,1,13.179038,-26.58895
38.166,2MASS J00524375-2634249,RGB*,00 52 43.75848,-26 34 24.8170,0.028,0.02,90,4.072,-5.707,16.059,15.192,15.144,13.43,12.92,12.81,,,,,2,13.182327,-26.57356
39.3814,2MASS J00524252-2635128,RGB*,00 52 42.53508,-26 35 12.7088,0.02,0.015,90,4.209,-5.653,14.989,13.883,,11.867,11.223,11.125,,,,,1,13.17723,-26.586864
40.3209,Gaia DR2 2342907584842537344,Star,00 52 45.41842,-26 35 37.6498,0.113,0.083,90,3.802,-5.739,,,,,,,,,,,1,13.189243,-26.593792
40.7545,Gaia DR2 2342907653560634240,Star,00 52 42.52913,-26 34 39.0019,0.091,0.064,90,4.309,-5.416,,,,,,,,,,,1,13.177205,-26.577501
41.5671,Cl* NGC  288    SAW V12,pulsV*SX,00 52 48.10,-26 35 13.4,,,,,,17.78,17.56,17.36,,,,,,,,2,13.200417,-26.587056
45.5267,[MDL2014] 179,HB*,00 52 48.18556,-26 35 20.0166,0.059,0.043,90,4.123,-5.658,,,,,,,,,,,2,13.200773,-26.588894
47.6953,[MDL2014] 243,HB*,00 52 44.02,-26 35 42.2,,,,,,,,,,,,,,,,1,13.183417,-26.595056
51.9943,2MASS J00524836-2634269,RGB*,00 52 48.37739,-26 34 26.8707,0.035,0.025,90,4.151,-5.678,16.546,15.731,,14.11,13.63,13.49,,,,,1,13.201572,-26.574131
52.1601,[MDL2014] 167,Candidate_HB*,00 52 46.42,-26 34 07.7,,,,,,,,,,,,,,,,1,13.193417,-26.568806
53.0004,[SHM2017] J013.19449-26.56892,RRLyr,00 52 46.68648,-26 34 08.0796,0.033,0.025,90,4.245,-5.697,15.4,15.7,,,,,,,,,9,13.194527,-26.568911
53.2511,2MASS J00524145-2634410,RGB*,00 52 41.46367,-26 34 40.9854,0.059,0.042,90,3.987,-5.533,17.128,16.32,,14.82,14.29,14.11,,,,,1,13.172765,-26.578052
53.2767,2MASS J00524725-2635432,RGB*,00 52 47.26800,-26 35 43.2084,0.032,0.023,90,4.18,-5.703,16.388,15.552,,13.828,13.31,13.3,,,,,1,13.19695,-26.595336
53.7337,2MASS J00524625-2635494,RGB*,00 52 46.26871,-26 35 49.3318,0.02,0.013,90,4.149,-5.646,14.774,13.509,,11.41,10.729,10.622,,,,,4,13.192786,-26.597037
55.6965,2MASS J00524921-2634419,RGB*,00 52 49.22588,-26 34 41.8061,0.037,0.026,90,4.253,-5.695,16.664,15.825,,14.18,13.68,13.67,,,,,1,13.205108,-26.578279
57.1577,Cl* NGC  288    SAW V9,pulsV*SX,00 52 42.95,-26 34 09.2,,,,,,17.81,17.52,,,,,,,,,6,13.178958,-26.569222
57.162,Gaia DR2 2342907584841828480,Star,00 52 46.71037,-26 35 51.0517,0.39,0.327,90,7.906,1.049,,,,,,,,,,,1,13.194627,-26.597514
57.3372,[MDL2014] 196,HB*,00 52 44.30425,-26 35 53.3465,0.067,0.045,90,4.3,-5.577,,,,,,,,,,,2,13.184601,-26.598152
58.0744,UCAC4 318-001099,Star,00 52 46.9150,-26 34 03.849,19,18,90,56.6,78.6,,,14.313,,,,,,,,1,13.195479,-26.567736
58.904,2MASS J00524888-2635302,RGB*,00 52 48.885,-26 35 30.25,70,70,90,,,16.355,15.531,,13.9,13.4,13.36,,,,,1,13.203688,-26.591736
59.4392,Cl* NGC  288    SAW V8,pulsV*SX,00 52 44.34,-26 33 59.2,,,,,,18.06,17.78,,,,,,,,,7,13.18475,-26.566444
60.3713,2MASS J00524095-2634390,RGB*,00 52 40.953,-26 34 39.03,70,70,90,,,,,,12.771,12.25,12.17,,,,,2,13.170638,-26.577508
62.5777,2MASS J00524977-2635118,RGB*,00 52 49.78093,-26 35 11.7398,0.024,0.018,90,4.391,-5.547,15.457,14.461,14.346,12.546,11.97,11.908,,,,,3,13.207421,-26.586594
63.3486,Gaia DR2 2342907584841832320,Star,00 52 46.69979,-26 35 57.6465,0.13,0.088,90,2.812,-6.379,,,,,,,,,,,1,13.194582,-26.599346
64.1128,2MASS J00524045-2634561,RGB*,00 52 40.46162,-26 34 56.0683,0.026,0.018,90,4.123,-5.751,14.882,15.87,14.837,13.067,12.533,12.416,,,,,3,13.16859,-26.582241
64.514,[MDL2014] 300,HB*,00 52 49.13332,-26 35 35.2776,0.088,0.071,90,4.258,-5.794,,,,,,,,,,,2,13.204722,-26.593133
65.41,LEDA 3604766,Galaxy,00 52 43.60,-26 35 59.0,,,,,,,,,,,,,,,,1,13.181667,-26.599722
65.7494,Cl* NGC  288    SAW V5,pulsV*SX,00 52 45.05,-26 33 51.7,,,,,,17.7,17.54,,,,,,,,,8,13.187708,-26.564361
66.3291,CXOU J005245.1-263351,X,00 52 45.158,-26 33 51.08,,,,,,,,,,,,,,,,2,13.188158,-26.564189
69.0233,Gaia DR2 2342907687921359488,Star,00 52 50.04094,-26 34 32.5724,0.314,0.25,90,3.784,-5.977,,,,,,,,,,,1,13.208504,-26.575715
71.1728,2MASS J00524749-2636018,RGB*,00 52 47.50397,-26 36 01.7692,0.047,0.032,90,3.811,-5.605,16.967,16.208,,14.53,14.05,14,,,,,1,13.197933,-26.600491
71.6828,Gaia DR2 2342907687921352320,Star,00 52 50.10601,-26 34 27.7795,0.296,0.219,90,5.561,-5.005,,,,,,,,,,,1,13.208775,-26.574383
72.1152,CXOU J005240.1-263432,X,00 52 40.22,-26 34 31.6,190,180,70,,,,,,16.491,,,,,,,2,13.167583,-26.575444
72.4471,[MDL2014] 156,HB*,00 52 50.53,-26 35 12.0,,,,,,,,,,,,,,,,1,13.210542,-26.586667
72.5394,CXOU J005240.5-263534,X,00 52 40.585,-26 35 34.32,,,,,,,,,,,,,,,,1,13.169104,-26.592867
72.8115,2MASS J00524111-2634100,RGB*,00 52 41.11488,-26 34 10.0808,0.049,0.036,90,4.456,-5.563,17.218,16.436,,14.85,14.44,14.29,,,,,1,13.171312,-26.569467
73.2763,[MDL2014] 176,HB*,00 52 48.70,-26 34 00.7,,,,,,,,,,,,,,,,1,13.202917,-26.566861
73.809,Gaia DR2 2342907859719010048,Star,00 52 41.20567,-26 34 07.2137,0.108,0.08,90,4.405,-5.61,,,,,,,,,,,1,13.17169,-26.56867
76.7937,UCAC4 318-001053,Star,00 52 43.4377,-26 33 44.512,60,23,90,-8.5,8.7,,,15.003,,,,,,,,1,13.18099,-26.562364
77.1174,Cl* NGC  288    SAW V7,pulsV*SX,00 52 41.46,-26 33 59.3,,,,,,18.2,17.92,,,,,,,,,8,13.17275,-26.566472
78.4236,2MASS J00525013-2634147,RGB*,00 52 50.14212,-26 34 14.6729,0.02,0.015,90,4.386,-5.587,14.996,13.864,,11.839,11.201,11.095,,,,,1,13.208926,-26.570742
79.4822,[MDL2014] 275,HB*,00 52 49.40750,-26 35 53.9027,0.089,0.064,90,4.977,-5.591,,,,,,,,,,,3,13.205865,-26.598306
79.5576,2MASS J00523974-2635278,RGB*,00 52 39.75801,-26 35 27.7655,0.033,0.022,90,4.238,-5.767,16.295,15.413,,13.688,13.18,13.12,,,,,1,13.165658,-26.591046
79.8194,CXOU J005242.6-263609,X,00 52 42.622,-26 36 09.08,,,,,,,,,,,,,,,,2,13.177592,-26.602522
80.0275,Gaia DR2 2342907859719014912,Star,00 52 40.00607,-26 34 19.0004,0.089,0.061,90,3.138,-5.191,,,,,,,,,,,1,13.166692,-26.571945
81.2173,2MASS J00524225-2633467,RGB*,00 52 42.26797,-26 33 46.6432,0.044,0.032,90,4.293,-5.749,17.01,16.198,,14.6,14.17,14.21,,,,,1,13.176117,-26.562956
83.3213,[MDL2014] 127,HB*,00 52 39.33220,-26 34 31.6786,0.053,0.036,90,4.062,-5.686,,,,,,,,,,,1,13.163884,-26.575466
86.1803,Gaia DR2 2342907859718989312,Star,00 52 40.97693,-26 33 52.9309,0.059,0.042,90,4.466,-5.367,,,,,,,,,,,1,13.170737,-26.564703
86.4643,2MASS J00523884-2634456,RGB*,00 52 38.85484,-26 34 45.5902,0.047,0.033,90,4.416,-5.666,17.071,16.293,,14.67,14.25,14.12,,,,,1,13.161895,-26.579331
86.9558,CXOU J005238.9-263434,X,00 52 38.991,-26 34 34.29,,,,,,,,,,,,,,,,2,13.162463,-26.576192
87.564,CXOU J005242.3-263615,X,00 52 42.337,-26 36 15.83,,,,,,,,,,,,,,,,2,13.176404,-26.604397
87.7227,2MASS J00524526-2633297,RGB*,00 52 45.27431,-26 33 29.6785,0.024,0.016,90,4.235,-5.517,,,,12.805,12.381,12.28,,,,,1,13.188643,-26.558244
88.0216,2MASS J00523915-2634243,RGB*,00 52 39.158,-26 34 24.37,70,70,90,,,16.773,15.985,,14.377,13.9,13.78,,,,,1,13.163158,-26.573436
89.021,[MDL2014] 231,HB*,00 52 47.02739,-26 36 23.1320,0.106,0.067,90,4.16,-5.78,,,,,,,,,,,2,13.195947,-26.606426
89.6565,2MASX J00523883-2635228,Galaxy,00 52 38.83,-26 35 22.8,,,,,,,,,,,,,,,,1,13.161792,-26.589667
91.6232,[CBG2009] NGC  288  200011,RGB*,00 52 38.896,-26 35 31.36,200,200,90,,,13.669,14.88,,,,10.802,,,,,2,13.162067,-26.592044
91.6938,2MASS J00523890-2635317,RGB*,00 52 38.902,-26 35 31.75,70,70,90,,,,,,11.609,10.923,10.802,,,,,1,13.162092,-26.592153
91.7247,[MDL2014] 81,Candidate_HB*,00 52 40.78802,-26 33 47.7847,0.048,0.031,90,4.272,-5.565,,,,,,,,,,,1,13.16995,-26.563274
92.883,2MASS J00524621-2636294,RGB*,00 52 46.22671,-26 36 29.3353,0.075,0.046,90,4.432,-5.463,17.208,16.428,,14.88,14.38,14.3,,,,,1,13.192611,-26.608149
94.184,2MASS J00525088-2635533,RGB*,00 52 50.89168,-26 35 53.2901,0.029,0.022,90,4.123,-5.826,15.895,14.054,14.912,13.26,12.717,12.63,,,,,2,13.212049,-26.598136
95.2028,Gaia DR2 2342907962798690944,Star,00 52 45.48817,-26 33 22.2554,0.1,0.076,90,4.85,-6.328,,,,,,,,,,,1,13.189534,-26.556182
96.5044,[MDL2014] 221,HB*,00 52 52.33014,-26 35 13.7590,0.099,0.073,90,5.066,-5.936,,,,,,,,,,,2,13.218042,-26.587155
97.5737,2MASS J00523998-2633498,RGB*,00 52 39.99288,-26 33 49.8313,0.02,0.014,90,4.185,-5.625,15.051,13.887,,11.842,11.195,11.086,,,,,2,13.166637,-26.563842
98.2473,Cl* NGC  288    ALC      70,Star,00 52 52.2,-26 35 28,,,,,,15.25,14.04,,,,,,,,,11,13.2175,-26.591111
98.759,Gaia DR2 2342904595545287040,Star,00 52 46.80671,-26 36 33.8974,0.908,0.591,90,5.564,-4.123,,,,,,,,,,,1,13.195028,-26.609416
98.9893,2MASS J00525132-2634017,RGB*,00 52 51.33250,-26 34 01.5548,0.035,0.024,90,4.343,-5.531,16.367,15.501,,13.83,13.26,13.27,,,,,1,13.213885,-26.567099
101.1064,[MDL2014] 143,HB*,00 52 52.77,-26 34 53.0,,,,,,,,,,,,,,,,1,13.219875,-26.581389
101.5786,[MDL2014] 86,Candidate_HB*,00 52 52.52774,-26 34 29.8228,0.059,0.044,90,4.242,-5.703,,,,,,,,,,,1,13.218866,-26.574951
102.7869,[MDL2014] 88,Candidate_HB*,00 52 52.12026,-26 34 12.1675,0.052,0.041,90,4.298,-5.703,,,,,,,,,,,1,13.217168,-26.570047
103.1648,2MASS J00525279-2634388,RGB*,00 52 52.80344,-26 34 38.7275,0.021,0.015,90,4.238,-5.683,14.76,13.63,,11.51,10.798,10.674,,,,,9,13.220014,-26.577424
103.2839,2MASS J00525260-2635270,RGB*,00 52 52.61757,-26 35 26.9657,0.023,0.018,90,4.265,-5.645,15.155,14.065,13.953,12.139,11.474,11.365,,,,,3,13.21924,-26.590824
104.0381,Gaia DR2 2342904629906129408,Star,00 52 49.64453,-26 36 23.0373,0.096,0.067,90,4.003,-5.598,,,,,,,,,,,1,13.206852,-26.606399
104.9699,2MASS J00525287-2635201,RGB*,00 52 52.88039,-26 35 20.0909,0.033,0.027,90,4.166,-5.596,14.42,13.06,,10.905,10.197,10.075,,,,,20,13.220335,-26.588914
105.0797,[MDL2014] 180,HB*,00 52 50.93362,-26 36 09.5765,0.068,0.051,90,4.5,-5.635,,,,,,,,,,,2,13.212223,-26.60266
105.2141,Cl* NGC  288    KHG      38,Star,00 52 49.24,-26 33 26.9,,,,,,19.03,18.54,,,,,,,,,1,13.205167,-26.557472
105.4376,2MASS J00524030-2636196,RGB*,00 52 40.31011,-26 36 19.5256,0.059,0.04,90,4.522,-4.782,16.74,15.937,,14.28,13.81,13.77,,,,,1,13.167959,-26.605424
105.8913,Cl* NGC  288    ALC     260,PulsV*,00 52 41.12783,-26 33 27.0150,0.031,0.022,90,4.203,-5.683,15.213,11.38,,9.693,8.819,8.589,,,,,22,13.171366,-26.557504
107.0239,[MDL2014] 61,Candidate_HB*,00 52 42.81487,-26 36 39.3611,0.076,0.05,90,4.858,-5.608,,,,,,,,,,,1,13.178395,-26.610934
107.0692,[MDL2014] 100,HB*,00 52 38.69770,-26 35 58.7434,0.067,0.034,90,4.466,-5.551,,,,,,,,,,,2,13.16124,-26.599651
107.3362,[MDL2014] 55,Candidate_HB*,00 52 47.45257,-26 33 14.2500,0.038,0.027,90,4.47,-5.578,,,,,,,,,,,1,13.197719,-26.553958
107.8198,UCAC4 318-000991,Star,00 52 37.2359,-26 34 47.574,54,22,90,7.1,1.1,15.971,15.091,15.101,,,,,,,,1,13.15515,-26.579882
108.8421,Cl* NGC  288    KHG      16,Star,00 52 51.68,-26 33 51.2,,,,,,18.9,18.24,,,,,,,,,1,13.215333,-26.564222
109.9426,[MDL2014] 304,HB*,00 52 48.61676,-26 33 17.2249,0.119,0.075,90,4.366,-5.572,,,,,,,,,,,2,13.20257,-26.554785
112.2586,Gaia DR2 2342907894081128576,Candidate_WD*,00 52 37.17667,-26 34 27.3731,0.564,0.425,90,5.317,-6.235,,,,,,,,,,,1,13.154903,-26.57427
112.2852,2MASS J00523762-2634106,RGB*,00 52 37.63422,-26 34 10.5240,0.026,0.018,90,4.2,-5.601,15.859,14.993,,13.165,12.602,12.542,,,,,1,13.156809,-26.56959
114.1105,Gaia DR2 2342904595545042432,Star,00 52 48.25657,-26 36 44.0967,0.853,0.677,90,5.236,-6.402,,,,,,,,,,,1,13.201069,-26.612249
114.1594,Gaia DR2 2342907894078726272,Star,00 52 37.29601,-26 34 16.4674,0.548,0.412,90,4.06,-5.912,,,,,,,,,,,1,13.1554,-26.571241
115.7953,2MASS J00524033-2636328,RGB*,00 52 40.34652,-26 36 32.7969,0.033,0.022,90,4.098,-5.67,16.229,15.379,,13.621,13.11,13.07,,,,,2,13.168111,-26.60911
116.6554,2MASS J00524055-2633192,RGB*,00 52 40.55853,-26 33 19.0952,0.046,0.033,90,4.516,-5.693,16.949,16.16,,14.57,14.07,13.95,,,,,1,13.168994,-26.555304
117.1995,Gaia DR2 2342904561184918272,Star,00 52 51.38976,-26 36 20.6566,0.681,0.499,90,4.626,-8.193,,,,,,,,,,,1,13.214124,-26.605738
117.4753,CXOU J005242.5-263305,X,00 52 42.526,-26 33 05.71,,,,,,,,,,,,,,,,2,13.177192,-26.551586
118.1615,2MASS J00525250-2636041,RGB*,00 52 52.51496,-26 36 04.0340,0.02,0.014,90,4.044,-5.748,14.729,13.477,,11.368,10.675,10.553,,,,,1,13.218812,-26.601121
118.8963,2MASS J00525401-2634411,RGB*,00 52 54.01870,-26 34 41.0226,0.025,0.019,90,4.253,-5.518,14.474,15.491,,12.578,11.985,11.87,,,,,2,13.225078,-26.578062
119.3975,2MASS J00523795-2636064,RGB*,00 52 37.97234,-26 36 06.3411,0.028,0.019,90,4.205,-5.767,15.842,14.908,14.811,13.062,12.56,12.42,,,,,3,13.158218,-26.601761
119.7425,2MASS J00524478-2632578,RGB*,00 52 44.79329,-26 32 57.8076,0.06,0.042,90,4.207,-5.607,16.908,16.126,,14.56,14.01,14,,,,,1,13.186639,-26.549391
120.5128,Gaia DR2 2342906347890532096,Star,00 52 36.28511,-26 34 47.7451,0.425,0.321,90,4.218,-6.299,,,,,,,,,,,1,13.151188,-26.579929
120.8755,Cl* NGC  288    KHG      31,Star,00 52 54.25,-26 34 55.7,,,,,,19,18.47,,,,,,,,,1,13.226042,-26.582139
121.1217,2MASS J00524541-2632562,RGB*,00 52 45.411,-26 32 56.30,70,70,90,,,16.897,16.089,,14.53,14.07,13.92,,,,,1,13.189213,-26.548972
121.4844,Cl* NGC  288    SAW V10,V*,00 52 47.93,-26 33 01.4,,,,,,19.7,19.09,,,,,,,,,3,13.199708,-26.550389
122.0876,[MDL2014] 102,HB*,00 52 51.48666,-26 36 26.1993,0.053,0.036,90,4.452,-5.502,,,,,,,,,,,1,13.214528,-26.607278
122.4798,2MASS J00524329-2636572,RGB*,00 52 43.30297,-26 36 57.0926,0.034,0.023,90,4.142,-5.693,14.429,12.91,,10.628,9.896,9.77,,,,,3,13.180429,-26.615859
122.7655,2MASS J00523775-2633467,RGB*,00 52 37.76001,-26 33 46.6774,0.033,0.024,90,4.218,-5.598,16.403,15.54,,13.83,13.278,13.29,,,,,1,13.157333,-26.562966
123.9341,[SHM2017] J013.17022-26.55226,RRLyr,00 52 40.85754,-26 33 08.3003,0.262,0.19,90,3.376,-5.95,,,,,,,,,,,1,13.17024,-26.552306
124.5695,Cl* NGC  288    KHG      42,Star,00 52 49.88,-26 33 09.5,,,,,,19.07,18.6,,,,,,,,,1,13.207833,-26.552639
124.6334,Cl* NGC  288    KHG       2,Star,00 52 53.69036,-26 35 49.2217,0.075,0.054,90,4.466,-5.609,17.75,16.97,,15.692,15.208,14.983,,,,,1,13.22371,-26.597006
125.1278,Gaia DR2 2342907928438437376,Star,00 52 38.11306,-26 33 36.6833,0.421,0.331,90,4.991,-4.556,,,,,,,,,,,1,13.158804,-26.56019
125.3329,2MASS J00524643-2632532,RGB*,00 52 46.44348,-26 32 53.1115,0.053,0.044,90,4.306,-5.559,17.125,16.336,,14.8,14.31,14.22,,,,,1,13.193515,-26.548087
125.433,CXOU J005243.7-263253,X,00 52 43.764,-26 32 53.54,,,,,,,,,,,,,,,,1,13.18235,-26.548206
126.7475,[MDL2014] 151,HB*,00 52 48.34056,-26 32 57.6731,0.056,0.04,90,4.391,-5.44,,,,,,,,,,,1,13.201419,-26.549354
127.8152,2MASS J00525296-2633427,RGB*,00 52 52.96952,-26 33 42.6745,0.022,0.016,90,4.126,-5.755,14.657,13.691,14.122,12.29,11.67,11.56,,,,,3,13.220706,-26.561854
