_r ( arcsec ),MAIN_ID,OTYPE,RA ( "h:m:s" ),DEC ( "d:m:s" ),COO_ERR_MAJA ( mas ),COO_ERR_MINA ( mas ),COO_ERR_ANGLE ( deg ),PMRA ( mas.yr-1 ),PMDEC ( mas.yr-1 ),B ( mag ),V ( mag ),R ( mag ),J ( mag ),H ( mag ),K ( mag ),SP_TYPE,GALDIM_MAJAXIS ( arcmin ),GALDIM_MINAXIS ( arcmin ),GALDIM_ANGLE ( deg ),BIBLIST,RAdeg ( deg ),DEdeg ( deg )
128.748,Cl* NGC  288    KHG      41,Star,00 52 52.50,-26 33 33.2,,,,,,19.04,18.55,,,,,,,,,1,13.21875,-26.559222
128.9605,2MASS J00524702-2637041,RGB*,00 52 47.04084,-26 37 04.0784,0.032,0.021,90,4.195,-5.539,16.259,15.388,,13.675,13.164,13.13,,,,,1,13.196004,-26.6178
132.1139,Gaia DR2 2342904767343634176,Star,00 52 54.85389,-26 34 28.7434,0.714,0.546,90,3.544,-6.226,,,,,,,,,,,1,13.228558,-26.574651
132.9987,[MDL2014] 113,HB*,00 52 39.49753,-26 36 45.8268,0.053,0.035,90,4.244,-5.572,,,,,,,,,,,1,13.164573,-26.61273
133.3592,[MDL2014] 142,HB*,00 52 50.57272,-26 36 49.9558,0.066,0.045,90,4.104,-5.681,,,,,,,,,,,2,13.21072,-26.613877
133.4461,2MASS J00524981-2636559,RGB*,00 52 49.82116,-26 36 55.8586,0.025,0.018,90,4.277,-5.655,15.293,14.239,,12.29,11.68,11.59,,,,,2,13.207588,-26.615516
133.4935,2MASS J00525439-2634055,RGB*,00 52 54.40709,-26 34 05.4689,0.034,0.024,90,4.256,-5.634,16.345,15.487,,13.786,13.26,13.21,,,,,1,13.226696,-26.568186
134.8217,[MDL2014] 74,Candidate_HB*,00 52 35.48536,-26 34 24.9460,0.045,0.032,90,4.275,-5.657,,,,,,,,,,,1,13.147856,-26.573596
134.9352,Gaia DR2 2342908168959213952,Star,00 52 51.93526,-26 33 16.7062,0.307,0.129,90,11.436,-6.281,,,,,,,,,,,1,13.216397,-26.554641
136.2728,2MASS J00524958-2637006,RGB*,00 52 49.59096,-26 37 00.5454,0.043,0.026,90,4.297,-5.627,,,,13.74,13.23,13.14,,,,,1,13.206629,-26.616818
136.5914,Cl* NGC  288    KHG       9,Star,00 52 53.75051,-26 33 42.4223,0.114,0.078,90,4.785,-5.446,18.48,17.76,,16.295,,,,,,,1,13.22396,-26.561784
137.2029,2MASS J00525431-2633540,RGB*,00 52 54.313,-26 33 54.08,70,70,90,,,16.89,16.095,,14.43,13.93,13.95,,,,,1,13.226304,-26.565022
138.4208,[MDL2014] 118,HB*,00 52 55.52684,-26 35 08.3188,0.055,0.039,90,4.18,-5.754,,,,,,,,,,,1,13.231362,-26.585644
138.9404,CXOU J005244.4-263238,X,00 52 44.435,-26 32 38.88,,,,,,,,,,,,,,,,1,13.185146,-26.544133
139.1015,[MDL2014] 89,Candidate_HB*,00 52 37.88,-26 36 35.4,,,,,,,,,,,,,,,,1,13.157833,-26.609833
139.2845,Gaia DR2 2342904767343632896,Candidate_WD*,00 52 55.30788,-26 34 23.3550,0.561,0.439,90,6.206,-2.594,,,,,,,,,,,1,13.23045,-26.573154
139.4012,Gaia DR2 2342907894081114368,Star,00 52 35.55167,-26 34 06.9983,0.536,0.387,90,4.588,-7.12,,,,,,,,,,,1,13.148132,-26.568611
139.9074,2MASS J00523718-2636262,RGB*,00 52 37.182,-26 36 26.24,60,60,90,,,17.039,16.28,,14.69,14.2,14.04,,,,,1,13.154925,-26.607289
140.167,2MASS J00523604-2633505,RGB*,00 52 36.05256,-26 33 50.6515,0.042,0.03,90,4.23,-5.607,16.894,16.097,,14.47,13.98,13.97,,,,,1,13.150219,-26.56407
142.3701,2MASS J00524984-2632492,RGB*,00 52 49.85539,-26 32 49.2013,0.036,0.026,90,4.265,-5.625,16.574,15.746,,14.14,13.67,13.56,,,,,1,13.207731,-26.547
142.9204,[MDL2014] 145,HB*,00 52 40.60090,-26 32 48.7439,0.049,0.035,90,4.168,-5.499,,,,,,,,,,,1,13.16917,-26.546873
143.4943,CXOU J005252.1-263308,X,00 52 52.184,-26 33 08.26,,,,,,,,,,,,,,,,1,13.217433,-26.552294
143.5771,Cl* NGC  288    KHG      33,Star,00 52 49.45,-26 32 45.4,,,,,,18.97,18.48,,,,,,,,,1,13.206042,-26.545944
143.6357,Cl* NGC  288    KHG       7,Star,00 52 55.53,-26 34 17.7,200,190,5,,,18.34,17.62,,16.286,15.753,,,,,,1,13.231375,-26.571583
143.9734,Gaia DR2 2342904767344103296,Star,00 52 55.80214,-26 34 31.8529,0.82,0.601,90,6.59,-5.139,,,,,,,,,,,1,13.232509,-26.575515
144.1497,Cl* NGC  288    KHG      15,Star,00 52 55.84,-26 35 21.1,,,,,,18.77,18.09,,,,,,,,,1,13.232667,-26.589194
146.4525,Cl* NGC  288    KHG      81,Star,00 52 55.80,-26 35 34.6,,,,,,20.16,19.65,,,,,,,,,1,13.2325,-26.592944
147.7163,Cl* NGC  288    KHG       5,Star,00 52 53.99,-26 36 27.1,130,110,4,,,18.25,17.52,,16.121,,,,,,,1,13.224958,-26.607528
147.7347,Cl* NGC  288    KHG      24,Star,00 52 56.24,-26 34 50.2,,,,,,18.97,18.4,,,,,,,,,1,13.234333,-26.580611
148.4493,Gaia DR2 2342907894080029696,Star,00 52 34.85967,-26 34 05.9655,0.818,0.703,90,6.795,-4.991,,,,,,,,,,,1,13.145249,-26.568324
149.158,2MASS J00524624-2637260,RGB*,00 52 46.25998,-26 37 25.9294,0.033,0.024,90,4.141,-5.632,14.4,12.609,,10.237,9.488,9.337,,,,,26,13.19275,-26.623869
149.2346,Cl* NGC  288    KHG      22,Star,00 52 56.36,-26 35 01.9,,,,,,18.96,18.38,,,,,,,,,1,13.234833,-26.583861
149.2531,2MASS J00523411-2634496,RGB*,00 52 34.12857,-26 34 49.6945,0.032,0.022,90,4.193,-5.704,16.167,15.285,,13.53,13.01,12.94,,,,,1,13.142202,-26.580471
150.6682,Gaia DR2 2342903118075442048,Star,00 52 45.45582,-26 37 28.0404,0.649,0.31,90,10.206,-6.637,,,,,,,,,,,1,13.189399,-26.624456
150.8172,Gaia DR2 2342904561185321600,Star,00 52 53.97144,-26 36 32.4281,0.574,0.408,90,4.105,-7.103,,,,,,,,,,,1,13.224881,-26.609008
151.1894,Cl* NGC  288    KHG      61,Star,00 52 55.50,-26 36 00.0,,,,,,19.57,19.11,,,,,,,,,1,13.23125,-26.6
151.2547,Cl* NGC  288    KHG      87,Star,00 52 56.23,-26 34 23.6,,,,,,20.31,19.72,,,,,,,,,1,13.234292,-26.573222
151.4926,Cl* NGC  288    KHG      12,Star,00 52 56.41,-26 34 35.1,500,500,90,,,18.54,17.82,,16.339,16.017,16.077,,,,,1,13.235042,-26.576417
153.1214,[MDL2014] 147,HB*,00 52 37.26,-26 36 46.9,,,,,,,,,,,,,,,,1,13.15525,-26.613028
154.2861,Cl* NGC  288    KHG      36,Star,00 52 56.03,-26 34 04.0,,,,,,19,18.5,,,,,,,,,1,13.233458,-26.567778
155.2071,Cl* NGC  288    KHG      56,Star,00 52 55.59,-26 36 06.8,,,,,,19.52,19.07,,,,,,,,,1,13.231625,-26.601889
155.4645,Gaia DR2 2342907997159588480,Star,00 52 47.29179,-26 32 24.3922,0.609,0.443,90,3.625,-7.427,,,,,,,,,,,1,13.197049,-26.540109
155.6064,Gaia DR2 2342908168959299712,Star,00 52 53.11410,-26 33 03.1484,0.834,0.569,90,3.944,-6.607,,,,,,,,,,,1,13.221309,-26.550875
155.75,Cl* NGC  288    KHG      20,Star,00 52 56.67,-26 35 24.8,,,,,,18.94,18.33,,,,,,,,,1,13.236125,-26.590222
155.7761,[MDL2014] 60,Candidate_HB*,00 52 38.60396,-26 37 05.2453,0.04,0.026,90,4.255,-5.557,,,,,,,,,,,1,13.16085,-26.618124
156.8303,Cl* NGC  288    KHG      86,Star,00 52 56.24,-26 34 04.3,,,,,,20.2,19.7,,,,,,,,,1,13.234333,-26.567861
156.9551,2MASS J00525692-2634511,RGB*,00 52 56.93091,-26 34 51.0649,0.022,0.016,90,4.2,-5.708,15.056,13.995,13.885,12.064,11.421,11.347,,,,,4,13.237212,-26.580851
157.0853,Cl* NGC  288    KHG      77,Star,00 52 55.70,-26 33 46.8,,,,,,20.09,19.6,,,,,,,,,1,13.232083,-26.563
157.3484,Gaia DR2 2342906416609969536,Star,00 52 33.62170,-26 34 35.7804,0.634,0.534,90,4.914,-4.034,,,,,,,,,,,1,13.14009,-26.576606
158.2125,[MDL2014] 242,HB*,00 52 45.03091,-26 37 35.5876,0.097,0.057,90,4.283,-5.34,,,,,,,,,,,3,13.187629,-26.626552
158.3966,Cl* NGC  288    KHG      11,Star,00 52 56.63,-26 35 39.2,250,250,90,,,18.47,17.78,,16.382,16.011,,,,,,1,13.235958,-26.594222
158.3985,Cl* NGC  288    KHG      66,Star,00 52 55.97,-26 33 51.3,,,,,,19.66,19.22,,,,,,,,,1,13.233208,-26.56425
158.4934,[MDL2014] 216,HB*,00 52 54.58871,-26 33 20.5002,0.076,0.052,90,4.47,-5.576,,,,,,,,,,,2,13.227453,-26.555695
158.8918,Gaia DR2 2342908375115983488,Star,00 52 47.85842,-26 32 22.4406,0.558,0.388,90,3.904,-6.55,,,,,,,,,,,1,13.19941,-26.539567
158.9589,Cl* NGC  288    KHG      89,Star,00 52 55.61,-26 33 40.5,,,,,,20.22,19.74,,,,,,,,,1,13.231708,-26.56125
159.0978,2MASS J00523479-2636130,RGB*,00 52 34.80511,-26 36 13.0443,0.033,0.022,90,4.21,-5.593,16.209,15.34,,13.646,13.08,13.05,,,,,1,13.145021,-26.603623
162.2992,Cl* NGC  288    BPF      34,RRLyr,00 52 40.26727,-26 32 29.4481,0.034,0.024,90,4.217,-5.809,15.59,14.42,,,,,,,,,6,13.16778,-26.541513
162.3216,2MASS J00523812-2637088,RGB*,00 52 38.13161,-26 37 08.7725,0.033,0.022,90,4.027,-5.665,16.291,15.405,,13.725,13.24,13.18,,,,,1,13.158882,-26.619103
162.8155,Cl* NGC  288    KHG      74,Star,00 52 53.31,-26 32 55.8,,,,,,19.97,19.5,,,,,,,,,1,13.222125,-26.548833
162.968,[MDL2014] 183,HB*,00 52 39.92616,-26 37 23.9582,0.079,0.045,90,4.38,-5.662,,,,,,,,,,,2,13.166359,-26.623322
163.0882,2MASS J00525735-2635106,RGB*,00 52 57.35805,-26 35 10.5992,0.042,0.031,90,4.37,-5.758,16.498,15.664,,13.97,13.5,13.47,,,,,1,13.238992,-26.586278
163.3401,Gaia DR2 2342908100239744256,Star,00 52 55.61333,-26 33 31.8849,0.068,0.047,90,4.425,-5.474,,,,,,,,,,,1,13.231722,-26.558857
164.9995,Cl* NGC  288    KHG      88,Star,00 52 54.44,-26 33 07.9,,,,,,20.23,19.74,,,,,,,,,1,13.226833,-26.552194
165.3288,2MASS J00525621-2636127,RGB*,00 52 56.21704,-26 36 12.6001,0.035,0.025,90,4.157,-5.676,16.409,15.559,,13.832,13.36,13.27,,,,,1,13.234238,-26.6035
166.3624,Cl* NGC  288    ALC     213,Star,00 52 40.3,-26 37 30,,,,,,14.39,13.03,,,,,,,,,29,13.167917,-26.625
167.6131,Gaia DR2 2342906038653122048,Star,00 52 37.75978,-26 37 11.6716,0.582,0.386,90,5.916,-5.595,,,,,,,,,,,1,13.157332,-26.619909
168.2258,Gaia DR2 2342906038655314944,Star,00 52 38.34874,-26 37 17.9609,0.083,0.046,90,4.114,-5.742,,,,,,,,,,,1,13.159786,-26.621656
168.8617,Cl* NGC  288    KHG      30,Star,00 52 57.79,-26 34 44.3,,,,,,18.99,18.46,,,,,,,,,1,13.240792,-26.578972
169.5443,Gaia DR2 2342904698624253568,Star,00 52 57.51139,-26 35 38.0275,0.485,0.368,90,5.733,-6.6,,,,,,,,,,,1,13.239631,-26.593897
169.7474,Cl* NGC  288    KHG      14,Star,00 52 53.44,-26 37 06.7,,,,,,18.71,18,,,,,,,,,1,13.222667,-26.618528
170.4881,Cl* NGC  288    KHG      55,Star,00 52 56.04,-26 36 27.3,,,,,,19.48,19.02,,,,,,,,,1,13.2335,-26.607583
170.8506,UCAC4 318-001035,Star,00 52 41.3662,-26 32 14.647,24,25,90,-0.1,-10.5,,,14.889,,,,,,,,1,13.172359,-26.537402
171.5452,Cl* NGC  288    KHG      44,Star,00 52 58.02,-26 34 51.3,,,,,,19.25,18.82,,,,,,,,,1,13.24175,-26.580917
171.9133,[MDL2014] 119,HB*,00 52 56.85979,-26 33 44.9166,0.063,0.046,90,4.224,-5.754,,,,,,,,,,,1,13.236916,-26.562477
172.9066,Cl* NGC  288    KHG      95,Star,00 52 56.53,-26 33 34.0,,,,,,20.55,19.99,,,,,,,,,1,13.235542,-26.559444
173.0661,Cl* NGC  288    KHG      48,Star,00 52 54.88,-26 33 02.4,,,,,,19.33,18.9,,,,,,,,,1,13.228667,-26.550667
173.0661,Cl* NGC  288    KHG      49,Star,00 52 54.88,-26 33 02.4,,,,,,19.33,18.9,,,,,,,,,1,13.228667,-26.550667
173.1823,2MASS J00523644-2632506,RGB*,00 52 36.444,-26 32 50.65,70,70,90,,,16.803,15.989,,14.34,13.85,13.75,,,,,1,13.15185,-26.547403
173.3218,Cl* NGC  288    KHG      62,Star,00 52 53.22,-26 32 41.1,,,,,,19.58,19.13,,,,,,,,,1,13.22175,-26.54475
173.4717,2MASS J00523957-2637335,RGB*,00 52 39.58723,-26 37 33.4278,0.059,0.036,90,4.225,-5.646,17.269,16.497,,14.91,14.46,14.53,,,,,1,13.164947,-26.625952
173.9074,2MASX J00523957-2637338,Galaxy,00 52 39.57,-26 37 33.8,,,,,,,,,,,,,,,,2,13.164875,-26.626056
173.927,Cl* NGC  288    KHG      53,Star,00 52 58.08,-26 35 21.6,,,,,,19.43,18.98,,,,,,,,,1,13.242,-26.589333
174.5027,2MASS J00525574-2633145,RGB*,00 52 55.745,-26 33 14.50,70,70,90,,,16.312,15.459,,13.76,13.23,13.21,,,,,1,13.232271,-26.554028
175.8671,2MASS J00524394-2632024,X,00 52 43.94,-26 32 02.4,150,140,45,,,,,,16.231,15.575,14.748,,,,,1,13.183083,-26.534
176.0622,Gaia DR2 2342906416609970944,Star,00 52 32.14157,-26 34 46.2586,0.604,0.434,90,1.913,-5.494,,,,,,,,,,,1,13.133923,-26.579516
176.6647,2MASS J00524389-2637531,RGB*,00 52 43.894,-26 37 53.14,60,60,90,,,16.458,15.619,,13.85,13.38,13.3,,,,,1,13.182892,-26.631428
176.6679,Cl* NGC  288    KHG      64,Star,00 52 58.41,-26 34 58.0,,,,,,19.67,19.2,,,,,,,,,1,13.243375,-26.582778
177.0191,Cl* NGC  288    KHG      32,Star,00 52 55.92,-26 36 41.4,,,,,,18.96,18.47,,,,,,,,,1,13.233,-26.6115
177.0513,Cl* NGC  288    KHG      51,Star,00 52 57.88,-26 35 48.4,,,,,,19.39,18.96,,,,,,,,,1,13.241167,-26.596778
177.6174,Cl* NGC  288    SAN      10,HB*,00 52 33.15870,-26 33 44.7435,0.055,0.038,90,4.345,-5.658,16,,,16.239,,15.579,,,,,2,13.138161,-26.562429
177.7058,[MDL2014] 228,HB*,00 52 47.37953,-26 37 52.7738,0.099,0.063,90,4.404,-5.579,,,,,,,,,,,2,13.197415,-26.631326
177.7775,2MASS J00523610-2637064,RGB*,00 52 36.11603,-26 37 06.3561,0.06,0.036,90,3.783,-4.801,15.684,14.878,14.755,13.065,12.482,12.393,,,,,3,13.150483,-26.618432
177.8886,Gaia DR2 2342904453812495104,Star,00 52 57.09933,-26 36 17.0312,0.37,0.275,90,7.568,-6.196,,,,,,,,,,,1,13.237914,-26.604731
177.9192,[MDL2014] 115,HB*,00 52 45.25655,-26 37 55.3191,0.062,0.038,90,4.246,-5.456,,,,,,,,,,,1,13.188569,-26.632033
178.9825,Cl* NGC  288    KHG       4,Star,00 52 53.04,-26 32 32.2,,,,,,18.08,17.37,,,,,,,,,1,13.221,-26.542278
179.506,Gaia DR2 2342906382251221760,Candidate_WD*,00 52 32.18407,-26 35 36.8008,0.761,0.603,90,6.227,-4.319,,,,,,,,,,,1,13.1341,-26.593556
179.5235,Cl* NGC  288    KHG      34,Star,00 52 54.84,-26 37 02.5,,,,,,18.97,18.48,,,,,,,,,1,13.2285,-26.617361
180.0759,2MASS J00525240-2632252,RGB*,00 52 52.41134,-26 32 25.1841,0.032,0.022,90,4.232,-5.625,16.305,15.447,,13.758,13.29,13.2,,,,,2,13.218381,-26.540329
180.4033,Gaia DR2 2342904355028313856,Star,00 52 53.25881,-26 37 22.2404,0.814,0.629,90,6.705,-6.054,,,,,,,,,,,1,13.221912,-26.622845
180.4398,2MASS J00524193-2637523,RGB*,00 52 41.94783,-26 37 52.3544,0.049,0.029,90,4.343,-5.65,16.908,16.112,15.867,14.453,14,14.01,,,,,2,13.174783,-26.63121
180.9402,[MDL2014] 146,HB*,00 52 43.36171,-26 37 56.5781,0.068,0.045,90,4.052,-5.638,,,,,,,,,,,2,13.180674,-26.632383
181.4604,2MASS J00525460-2637084,RGB*,00 52 54.60579,-26 37 08.3523,0.025,0.017,90,4.286,-5.594,,,,12.275,11.78,11.648,,,,,1,13.227524,-26.618987
181.7496,Cl* NGC  288    KHG      37,Star,00 52 58.01,-26 33 56.7,,,,,,19.02,18.51,,,,,,,,,1,13.241708,-26.56575
181.8248,Cl* NGC  288    KHG      67,Star,00 52 53.06,-26 32 28.9,,,,,,19.71,19.25,,,,,,,,,1,13.221083,-26.541361
181.8248,Cl* NGC  288    KHG      68,Star,00 52 53.06,-26 32 28.9,,,,,,19.71,19.25,,,,,,,,,1,13.221083,-26.541361
182.4203,CXOU J005249.7-263205,X,00 52 49.744,-26 32 05.28,,,,,,,,,,,,,,,,1,13.207267,-26.5348
182.6127,UCAC4 318-001165,HB*,00 52 55.59270,-26 32 58.8435,0.08,0.054,90,3.8,-5.3,15.48,15.5,15.775,,,,,,,,3,13.231636,-26.549679
182.7714,Cl* NGC  288    KHG      59,Star,00 52 58.80,-26 34 39.6,,,,,,19.55,19.1,,,,,,,,,1,13.245,-26.577667
182.8792,CXOU J005232.9-263338,X,00 52 32.950,-26 33 38.28,,,,,,,,,,,,,,,,1,13.137292,-26.560633
182.908,Cl* NGC  288    KHG      25,Star,00 52 49.49,-26 37 51.2,,,,,,18.95,18.41,,,,,,,,,1,13.206208,-26.630889
183.2503,Cl* NGC  288    KHG      47,Star,00 52 58.50,-26 35 41.5,,,,,,19.36,18.89,,,,,,,,,1,13.24375,-26.594861
183.279,Cl* NGC  288    ALC     131,Candidate_HB*,00 52 32.08114,-26 35 46.7606,0.048,0.031,90,4.22,-5.569,15.5,14.51,,15.478,15.568,15.03,,,,,6,13.133671,-26.596322
185.4325,2MASS J00524379-2638018,RGB*,00 52 43.790,-26 38 01.81,60,60,90,,,,,,11.715,11.151,11.045,,,,,2,13.182458,-26.633836
185.5291,Cl* NGC  288    KHG      82,Star,00 52 58.97,-26 34 35.1,,,,,,20.17,19.67,,,,,,,,,1,13.245708,-26.576417
185.9376,2MASS J00524655-2631523,RGB*,00 52 46.56733,-26 31 52.3173,0.032,0.021,90,4.096,-5.624,16.08,15.185,14.953,13.52,12.94,12.9,,,,,4,13.194031,-26.531199
185.9394,CXOU J005257.7-263618,X,00 52 57.700,-26 36 18.90,,,,,,,,,,,,,,,,1,13.240417,-26.60525
186.3071,Cl* NGC  288    KHG      69,Star,00 52 58.76,-26 34 14.8,,,,,,19.75,19.28,,,,,,,,,1,13.244833,-26.570778
186.8352,[MDL2014] 154,HB*,00 52 54.90701,-26 37 11.9245,0.064,0.042,90,4.177,-5.645,,,,,,,,,,,1,13.228779,-26.619979
186.9536,Gaia DR2 2342903049356956800,Star,00 52 48.74318,-26 37 58.3538,0.943,0.716,90,4.586,-8.067,,,,,,,,,,,1,13.203097,-26.632876
187.9607,Cl* NGC  288    KHG      71,Star,00 52 54.47,-26 32 36.0,,,,,,19.85,19.39,,,,,,,,,1,13.226958,-26.543333
188.732,2MASS J00523341-2636399,RGB*,00 52 33.43156,-26 36 40.0384,0.035,0.022,90,4.184,-5.572,16.341,15.466,,13.759,13.25,13.21,,,,,1,13.139298,-26.611122
188.826,2MASS J00525760-2633273,RGB*,00 52 57.61132,-26 33 27.3512,0.035,0.026,90,4.233,-5.79,16.341,15.483,,13.83,13.31,13.23,,,,,1,13.240047,-26.557598
189.0953,2MASS J00524677-2638054,RGB*,00 52 46.78441,-26 38 05.3575,0.053,0.035,90,4.038,-5.797,16.86,16.03,15.601,14.38,13.88,13.82,,,,,2,13.194935,-26.634822
190.1165,2MASS J00525845-2636062,RGB*,00 52 58.45529,-26 36 06.1260,0.032,0.023,90,4.246,-5.746,14.479,13.165,12.982,10.892,10.186,10.011,,,,,2,13.243564,-26.601702
190.1504,CXOU J005239.8-263201,X,00 52 39.888,-26 32 01.33,,,,,,,,,,,,,,,,1,13.1662,-26.533703
191.2195,Cl* NGC  288    SAW V11,pulsV*SX,00 52 58.70,-26 36 00.4,,,,,,17.81,17.55,17.41,,,,,,,,2,13.244583,-26.600111
191.4046,Gaia DR2 2342904355026524288,Star,00 52 54.15423,-26 37 26.8719,0.464,0.318,90,4.533,-5.324,,,,,,,,,,,1,13.225643,-26.624131
191.4975,2MASS J00525922-2634195,RGB*,00 52 59.23229,-26 34 19.4831,0.042,0.029,90,4.309,-5.694,16.702,15.901,,14.244,13.78,13.67,,,,,1,13.246801,-26.572079
192.0324,Cl* NGC  288    KHG      65,Star,00 52 53.73,-26 32 22.8,,,,,,19.63,19.2,,,,,,,,,1,13.223875,-26.539667
192.0811,Cl* NGC  288    KHG      26,Star,00 52 55.29,-26 32 40.6,,,,,,18.94,18.42,,,,,,,,,1,13.230375,-26.544611
192.1948,Cl* NGC  288    KHG       3,Star,00 52 49.36095,-26 38 01.4770,0.095,0.059,90,4.255,-5.872,17.9,17.14,,15.907,15.359,15.312,,,,,1,13.205671,-26.633744
192.732,Cl* NGC  288    KHG      39,Star,00 52 56.52,-26 36 56.8,,,,,,19.01,18.54,,,,,,,,,1,13.2355,-26.615778
193.4523,[MDL2014] 114,HB*,00 52 38.69694,-26 37 49.8044,0.067,0.039,90,4.291,-5.476,,,,,,,,,,,1,13.161237,-26.630501
